location,state,office,district,election_date,r_plus,is_uncontested,incumbent,source_url,last_updated
Florida - State House District 102,FL,State House,District 102,2026-11-05,,False,Jayden D'OnofrioMichael Friend,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.755757
Florida - State House District 103,FL,State House,District 103,2026-11-05,,False,,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.755757
Florida - State House District 104,FL,State House,District 104,2026-11-05,,False,Felicia Simone Robinson(i),"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 105,FL,State House,District 105,2026-11-05,,False,Marie Woodson(i),"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 106,FL,State House,District 106,2026-11-05,,False,Lucia Baez-GellerAshley Diego,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 107,FL,State House,District 107,2026-11-05,,False,Wallace Aristide(i),"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 108,FL,State House,District 108,2026-11-05,,False,Daphne CampbellDinah Escarment,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 111,FL,State House,District 111,2026-11-05,,False,,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 112,FL,State House,District 112,2026-11-05,,False,,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 113,FL,State House,District 113,2026-11-05,,False,,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 114,FL,State House,District 114,2026-11-05,,False,,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 115,FL,State House,District 115,2026-11-05,,False,,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 116,FL,State House,District 116,2026-11-05,,False,,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 118,FL,State House,District 118,2026-11-05,,False,Nathan Burandt,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 119,FL,State House,District 119,2026-11-05,,False,,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House District 120,FL,State House,District 120,2026-11-05,,False,,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.757263
Florida - State House Salary,FL,State House,Salary,2026-11-05,,False,Per diem,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.758269
"Florida - State House $29,697/year",FL,State House,"$29,697/year",2026-11-05,,False,$175/day for a maximum of 60 days. Members can also receive per diem outside of the session.,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.758269
Florida - State House Governor,FL,State House,Governor,2026-11-05,,False,D,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.758269
Florida - State House Senate,FL,State House,Senate,2026-11-05,,False,D,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.758269
Florida - State House House,FL,State House,House,2026-11-05,,False,D,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.759269
Florida - State House Winning Party,FL,State House,Winning Party,2026-11-05,,False,D,"https://ballotpedia.org/Florida_House_of_Representatives_elections,_2026",2025-10-25T13:01:05.759269
